n,cutoffs,TRUE,glm_bias,glm_variance,glm_mse,glm_coverage,xgboost_bias,xgboost_variance,xgboost_mse,xgboost_coverage,Dov_bias,Dov_variance,Dov_mse,Dov_coverage
1000,0.1,0.273,-0.004,0,0,0.935,-0.001,0,0,0.901,-0.017,0,0,0.778
,0.15,0.254,-0.006,0,0,0.922,-0.004,0,0,0.817,-0.018,0,0.001,0.768
,0.2,0.232,-0.008,0,0,0.913,-0.012,0,0.001,0.642,-0.018,0,0.001,0.782
,0.25,0.208,-0.008,0,0,0.887,-0.022,0.001,0.001,0.497,-0.016,0,0.001,0.829
,0.3,0.185,-0.007,0.001,0.001,0.882,-0.032,0.001,0.002,0.292,-0.013,0,0,0.878
,,,,,,,,,,,,,,
2000,0.1,0.273,-0.004,0,0,0.93,0,0,0,0.911,-0.017,0,0,0.611
,0.15,0.254,-0.006,0,0,0.91,-0.002,0,0,0.841,-0.019,0,0,0.589
,0.2,0.232,-0.007,0,0,0.889,-0.006,0,0,0.728,-0.018,0,0,0.649
,0.25,0.208,-0.007,0,0,0.894,-0.012,0,0,0.588,-0.016,0,0,0.743
,0.3,0.185,-0.006,0,0,0.898,-0.02,0,0.001,0.414,-0.012,0,0,0.854
,,,,,,,,,,,,,,
5000,0.1,0.273,-0.005,0,0,0.929,0,0,0,0.932,-0.018,0,0,0.278
,0.15,0.254,-0.007,0,0,0.861,-0.001,0,0,0.888,-0.019,0,0,0.233
,0.2,0.232,-0.008,0,0,0.832,-0.003,0,0,0.789,-0.019,0,0,0.302
,0.25,0.208,-0.008,0,0,0.848,-0.007,0,0,0.672,-0.016,0,0,0.462
,0.3,0.185,-0.008,0,0,0.852,-0.012,0,0,0.488,-0.014,0,0,0.654
