n,cutoffs,TRUE,glm_bias,glm_variance,glm_mse,glm_coverage,xgboost_bias,xgboost_variance,xgboost_mse,xgboost_coverage,Dov_bias,Dov_variance,Dov_mse,Dov_coverage
1000,0.1,0.27,0.001,0,0,0.938,0.003,0,0,0.902,0.001,0,0,0.931
,0.15,0.244,0.001,0,0,0.951,0.003,0,0,0.857,0.001,0,0,0.951
,0.2,0.217,0.001,0,0,0.951,-0.001,0,0,0.758,0.001,0,0,0.945
,0.25,0.19,0.001,0.001,0.001,0.939,-0.009,0.001,0.001,0.571,0,0.001,0.001,0.947
,0.3,0.165,0,0.001,0.001,0.938,-0.023,0.001,0.002,0.373,-0.001,0.001,0.001,0.937
,,,,,,,,,,,,,,
2000,0.1,0.27,0.001,0,0,0.931,0.002,0,0,0.909,0.001,0,0,0.942
,0.15,0.244,0.001,0,0,0.942,0.002,0,0,0.871,0.001,0,0,0.944
,0.2,0.217,0.001,0,0,0.944,0.001,0,0,0.814,0.001,0,0,0.947
,0.25,0.19,0.001,0,0,0.934,-0.003,0,0,0.741,0.001,0,0,0.934
,0.3,0.165,0.001,0,0,0.941,-0.008,0.001,0.001,0.558,0.001,0,0,0.939
,,,,,,,,,,,,,,
5000,0.1,0.27,0.001,0,0,0.945,0.002,0,0,0.924,0.001,0,0,0.947
,0.15,0.244,0.001,0,0,0.946,0.002,0,0,0.901,0.001,0,0,0.949
,0.2,0.217,0.001,0,0,0.933,0.001,0,0,0.87,0.001,0,0,0.936
,0.25,0.19,0.001,0,0,0.932,0,0,0,0.852,0.001,0,0,0.933
,0.3,0.165,0.001,0,0,0.941,-0.001,0,0,0.783,0.001,0,0,0.935
